f,mag,re,im
1213,95.49216395,-66.181044,68.839108
1214,60.68384665,-37.789002,47.481792
1215,49.17672973,-4.370615,48.982124
1216,81.37544544,-35.821357,73.067048
1217,81.08574073,2.95652,81.031823
1218,105.0287651,92.036534,50.599584
1219,79.22015477,54.660775,57.341369
1220,70.36925355,37.290648,59.676121
1221,68.73653126,64.641776,23.369885
1222,50.69584873,40.936586,29.904264
1223,18.20249149,5.935448,17.20759
1224,34.21623206,25.015681,-23.344512
1225,28.59591916,-12.153293,25.884823
1226,35.34756787,-32.616042,-13.625137
1227,25.0629095,-16.449858,-18.909035
1228,48.40591481,-9.707154,-47.422608
1229,15.59252128,-3.950546,-15.083763
1230,55.75388447,-22.011494,51.224894
1231,97.60608712,-17.29399,96.061783
1232,127.9841097,-79.42909,100.354133
1233,100.516312,-65.351052,76.372567
1234,107.7954975,-48.596236,96.219931
1235,73.09940025,-44.80623,57.757459
1236,104.9921271,-31.750637,100.07619
1237,7.571432104,-3.828557,6.532131
1238,51.09697411,28.626447,42.325256
1239,48.82120126,27.800789,40.132603
1240,65.2373874,61.153499,22.719293
1241,49.19813871,31.105183,38.117246
1242,19.31737561,4.994858,18.66045
1243,70.94160914,65.099472,28.191677
1244,8.373898289,-3.715334,-7.504563
1245,16.85806398,-16.486475,-3.520009
1246,23.8709931,-23.099195,-6.020922
1247,52.00879607,-51.977208,1.812379
1248,62.15114571,-57.175896,24.365587
1249,25.22473648,-20.646321,14.491955
1250,52.33059862,-50.842942,12.388979
1251,13.85843241,6.863759,12.039309
1252,23.23372993,3.884725,22.906661
1253,65.40600716,-4.013957,65.282723
1254,51.50302139,-17.783575,48.335346
1255,12.77876525,-8.211834,9.790946
1256,83.06763098,-32.648446,76.382657
1257,39.24611347,8.603589,38.291457
1258,77.50381508,26.455705,72.848727
1259,43.5295835,41.43717,13.333626
1260,69.21531775,29.111941,62.795343
1261,32.51090711,12.179798,30.143185
1262,40.82378644,26.540741,31.018875
1263,44.84393653,43.813315,9.558874
1264,8.902097518,-7.54887,4.718252
1265,19.30105682,11.918087,15.181897
1266,25.39682293,12.663667,-22.014317
1267,9.437214394,-4.926372,-8.04934
1268,65.69776521,-61.467386,-23.193896
1269,63.44228344,-56.920964,-28.016552
1270,7.2716911,-4.871801,-5.39843
1271,45.96456143,-33.544202,31.424949
1272,56.96339188,-22.542575,52.313099
1273,48.55693565,-43.868974,20.815598
1274,67.12498329,-39.452302,54.307267
1275,50.96868601,-10.64853,49.843914
1276,53.15635719,1.541646,53.133997
1277,49.42675633,32.116051,37.57078
1278,78.43527796,33.149796,71.08575
1279,38.07946457,-13.233776,35.705921
1280,78.23186752,48.942935,61.031256
1281,44.69730462,2.91499,44.602151
1282,51.98351869,36.517183,36.997048
1283,45.85514785,20.900407,40.815041
1284,27.41978839,12.601425,-24.352595
1285,38.68295147,-20.351121,-32.896848
1286,63.17629593,-51.334757,-36.82373
1287,52.72913861,-36.674147,-37.886264
1288,40.80500428,-39.528459,-10.126663
1289,10.21796294,-9.966916,2.251078
1290,48.12983591,-31.171042,36.672159
1291,38.57768785,4.978586,38.255087
1292,63.49363529,-51.903188,36.571858
1293,53.95795601,-19.852687,50.173019
1294,97.8679826,-40.34419,89.165511
1295,85.05944303,-16.763764,83.391157
1296,65.3699267,17.819271,62.894363
1297,81.87408745,-49.308144,65.361098
1298,55.65310686,10.202483,54.709941
1299,31.47086115,26.449578,17.053883
1300,107.7902378,55.092878,92.647235
1301,30.96404807,23.444985,20.226343
1302,54.86972398,48.03654,26.517493
1303,60.82753147,60.764378,-2.771092
1304,17.73771333,17.693453,1.252276
1305,27.95707806,17.339456,-21.930378
1306,47.4210144,-46.768391,-7.840294
1307,20.19396752,-12.933462,-15.508768
1308,31.57856377,-30.973319,6.152983
1309,55.31947355,-55.231328,-3.121628
1310,70.42762863,-53.445215,45.865672
1311,78.86861942,-78.581353,6.725332
1312,47.01302205,26.893702,38.56103
1313,55.44658505,-53.668411,13.929302
1314,49.81731503,-18.604837,46.212822
1315,24.61999365,9.476298,22.723201
1316,56.5603801,-10.368552,55.601886
1317,64.08691511,43.252805,47.289825
1318,48.83901446,17.658522,45.534887
1319,12.75243423,12.373195,-3.086847
1320,255.0837096,37.027082,252.38204
1321,39.1530279,36.371744,-14.493303
1322,22.33136176,22.302474,1.135505
1323,74.15803316,25.885514,-69.493554
1324,55.74076946,31.723255,-45.83305
1325,35.69215618,30.487474,-18.559201
1326,35.33428004,-21.799195,-27.808388
1327,29.2014239,-14.7439,25.205963
1328,48.74474048,-22.366528,-43.31037
1329,34.2022957,33.040236,8.839674
1330,25.62417012,-25.18107,-4.744661
1331,55.85658059,-46.790871,30.505278
1332,19.84596558,-18.880514,6.114617
1333,65.23316202,-2.259119,65.194032
1334,26.64065375,-2.552079,26.518132
1335,60.84891059,-12.495825,59.55203
1336,62.94291143,8.901278,62.310331
1337,54.63681556,4.500939,54.451108
1338,55.62457428,22.34036,50.941158
1339,13.04379083,12.043133,5.010332
1340,80.39395187,53.181552,-60.290215
1341,24.29131159,24.16211,-2.502051
1342,56.05554651,55.967493,-3.140704
1343,22.98496693,22.515373,4.622411
1344,50.37256697,6.538519,49.946404
1345,42.81141605,28.012804,-32.374375
1346,15.49846538,-13.165796,-8.177056
1347,8.911379143,-7.713429,-4.4627
1348,57.04159359,-56.583835,7.212005
1349,30.75144501,-22.516635,-20.944033
1350,26.00924034,-19.289525,17.446914
1351,41.93120041,-31.242634,27.966469
1352,26.28411537,-2.197519,26.192091
1353,9.24991908,8.797075,2.858754
1354,44.6112701,-12.572534,42.803
1355,29.5166869,-15.261675,25.264918
1356,67.25233637,53.530843,40.710264
1357,57.70390121,57.382582,6.081077
1358,69.35337316,58.574215,37.134239
1359,50.2424612,6.160004,49.863406
1360,41.67693239,26.72056,-31.984033
1361,60.13208692,54.550632,25.300127
1362,65.7501838,54.307261,37.064917
1363,48.00890251,40.785046,25.326562
1364,23.05289313,21.501295,-8.314457
1365,10.38488937,8.750147,-5.592929
1366,6.448616775,3.610452,5.343154
1367,30.85585571,-16.090639,26.32822
1368,41.4836678,-34.218555,23.451763
1369,35.58741146,-34.107273,-10.156662
1370,36.28716313,-6.80335,35.64369
1371,84.96687343,-84.396627,9.827458
1372,25.71898946,-20.681334,-15.288847
1373,24.51447752,5.477924,23.894601
1374,59.84580386,-22.152675,55.594777
1375,39.35866347,-28.090181,27.568934
1376,72.13658732,45.022471,56.361905
1377,48.3273717,25.792494,40.869085
1378,49.37247375,45.339406,-19.544294
1379,30.77549956,13.45018,27.680752
1380,38.45076767,-1.107419,38.434817
1381,44.87488893,30.095872,33.286546
1382,54.71675863,21.764492,50.201898
1383,35.16676546,10.081206,-33.69081
1384,30.45978894,30.27697,-3.332241
1385,18.15404142,-8.513739,16.033885
1386,48.09807787,27.466902,-39.484103
1387,23.7610998,-20.973121,11.167724
1388,67.69453301,-40.005998,54.608332
1389,27.53919969,-27.495067,-1.558464
1390,33.26955144,-18.375784,27.73434
1391,32.29217861,-30.346814,11.038826
1392,53.70550425,-37.10872,38.822984
1393,26.23494234,-23.238114,12.176299
1394,39.90959425,0.868,39.900154
1395,56.65839397,26.845966,49.894566
1396,99.3132868,13.693652,98.364693
1397,19.82884296,13.696218,14.338641
1398,60.63244243,47.439998,37.758968
1399,67.15482148,42.346699,52.120314
1400,49.35786982,49.040349,5.589587
1401,68.91802574,33.808588,60.055588
1402,26.74528666,26.27442,-4.99652
1403,45.1083015,43.446369,12.131442
1404,44.90683589,39.102154,22.082696
1405,52.61396001,47.468554,22.692844
1406,24.71546682,10.540861,22.354967
1407,52.10787672,-37.636905,36.0374
1408,62.26439369,-29.715188,54.716198
1409,80.01126423,-64.694041,47.079544
1410,78.75301339,-37.155716,69.436949
1411,69.16741174,-62.871218,28.832981
1412,63.24434174,-26.092528,57.610995
1413,55.57322678,-24.674048,49.79533
1414,62.34863536,-61.529341,10.07435
1415,74.42677606,-58.261958,46.312949
1416,55.25871702,0.603262,55.255424
1417,39.54536399,-10.97191,37.992802
1418,19.49853792,-14.431543,13.111962
1419,54.1854377,-0.116715,54.185312
1420,23.42404672,22.920934,-4.828742
1421,27.52381566,26.582056,-7.138258
1422,43.48783748,42.199966,10.504993
1423,48.23601935,47.154043,-10.159222
1424,61.12692931,52.313342,-31.619863
1425,30.95464505,-23.227512,-20.461494
1426,31.91530097,-4.001546,-31.66345
1427,25.26227501,11.486667,-22.499756
1428,21.91149734,-21.906159,-0.483646
1429,36.42946823,-3.849538,36.225505
1430,12.34172049,-3.841264,11.728715
1431,42.16691086,-37.239596,19.780315
1432,81.55494161,-35.946974,73.205352
1433,48.37696217,-29.584488,38.276475
1434,13.38373415,0.349078,13.379181
1435,41.21699224,26.312397,31.725356
1436,33.04923479,16.915556,28.39218
1437,38.38562141,-4.335843,38.139958
1438,69.09095604,53.038663,44.277087
1439,44.16128006,40.141691,18.40824
1440,12.16914935,-0.396904,-12.162675
1441,34.14660563,28.735592,-18.446041
1442,27.86824605,26.249232,9.360393
1443,32.41051101,17.670715,27.169598
1444,42.15077218,-28.129429,-31.391445
1445,17.25999551,8.887269,-14.796077
1446,24.21382852,-24.211987,0.298625
1447,30.28880721,-9.708735,-28.690631
1448,14.1116918,-14.009955,1.691451
1449,38.49242481,0.339228,38.49093
1450,44.65639238,-35.780877,26.719323
1451,69.0742304,-52.968498,44.334947
1452,37.3607354,28.578914,24.063878
1453,11.61526195,-9.544815,6.618974
1454,30.75570741,15.008893,26.844863
1455,56.96466234,28.695428,49.209198
1456,43.83450904,22.048685,37.885613
1457,41.71525811,-12.274963,39.868384
1458,38.4688451,4.947123,38.149417
1459,66.63898293,48.561714,45.63457
1460,53.83328565,30.987945,44.020108
1461,17.45663295,5.378559,-16.607382
1462,56.37905615,41.874468,37.750853
1463,45.00811095,-14.547413,-42.592286
1464,11.00994313,0.873611,10.975229
1465,51.74291366,-29.046318,-42.821029
1466,48.21654199,-35.483671,-32.645735
1467,8.320794228,5.11781,-6.560765
1468,38.65749736,-28.387651,-26.24011
1469,17.67838233,-11.508218,-13.419617
1470,17.776389,17,-5.196153
1471,43.40616527,-43.382638,1.428952
1472,46.28842315,-28.671892,36.339245
1473,18.7576691,-18.072134,-5.024751
1474,36.42810995,-12.399343,34.252934
1475,66.86024083,-52.503542,41.396496
1476,64.20446048,30.597904,56.444495
1477,41.37534064,40.986144,-5.661697
1478,19.02835374,19.000811,-1.023439
1479,27.76322859,8.979816,26.270892
1480,55.43651894,34.278884,43.567944
1481,34.46502427,33.088437,9.6433
1482,28.69137084,24.304148,15.248054
1483,28.64181815,18.545562,21.826953
1484,25.02935511,24.667132,4.242784
1485,13.99188297,0.371998,13.986937
1486,13.76997222,-7.597028,-11.484655
1487,12.7520635,-12.165158,3.824141
1488,66.04009613,-63.577651,-17.865514
1489,21.21118863,-6.726256,20.116461
1490,68.07102866,-67.087558,11.529289
1491,52.54662098,-46.216422,25.003794
1492,80.40109095,-45.079805,66.574369
1493,10.84741005,0.131496,10.846613
1494,45.53131903,-30.029608,34.224606
1495,15.37954816,4.047916,14.83728
1496,246.5205609,7.367564,246.410442
1497,28.50976178,25.955356,11.795169
1498,62.45277688,56.653802,26.281097
1499,38.61928314,36.425783,12.830096
1500,45.68430928,36.901421,-26.93216
1501,43.29106836,14.006829,-40.962487
1502,57.44260271,53.88877,19.89103
1503,48.44813265,30.870586,37.339369
1504,23.16859505,8.915505,21.384517
1505,42.59128738,40.771493,-12.316782
1506,10.53993334,-9.164767,5.205501
1507,32.65670938,-30.816307,-10.80814
1508,38.10219338,-29.710872,-23.854585
1509,32.54494096,23.203052,22.820858
1510,49.07044108,-43.568849,-22.57573
1511,25.53112939,-10.358387,23.335432
1512,43.34163441,-10.664408,42.009138
1513,29.485277,-15.348297,25.17561
1514,63.10405262,-32.664263,53.99229
1515,15.89150478,0.726733,-15.874879
1516,37.45832337,28.341687,-24.492341
1517,21.79827556,5.469617,21.100903
1518,57.18013908,47.247291,32.206549
1519,84.35466579,77.983663,32.159881
1520,25.55927769,-22.709617,11.72817
1521,52.97825295,36.28331,38.603325
1522,34.80823002,24.008105,-25.203646
1523,35.40845033,29.841774,-19.058512
1524,35.99436013,32.682957,-15.080394
1525,29.75820104,-27.94619,-10.225507
1526,25.47055008,5.66845,-24.831786
1527,6.259459603,6.094132,-1.429122
1528,20.66451934,-20.25033,-4.116612
1529,18.41535113,-1.936689,18.31323
1530,28.07001129,-21.991996,17.443556
1531,45.70685778,-44.542771,10.2498
1532,29.28867384,-7.087665,28.418153
1533,15.40562429,-5.146578,14.520537
1534,16.06662916,16.066619,-0.018066
1535,46.87209903,-3.413093,46.747668
1536,36.8053461,16.969817,32.659743
1537,26.48512363,7.788969,25.313904
1538,30.84218123,23.917628,19.47273
1539,29.74179994,19.969128,22.041066
1540,14.52550268,9.693521,10.81785
1541,13.00098752,6.123551,-11.468557
1542,48.38918633,39.317127,28.207745
1543,27.7186379,14.443901,23.657908
1544,58.35487439,54.338365,21.275184
1545,10.11382527,9.671302,-2.958949
1546,23.96725486,-6.071648,23.185435
1547,54.55522853,-53.432808,11.00945
1548,30.68339041,-30.681044,0.379455
1549,27.63883109,-20.862361,-18.129172
1550,23.81420327,-20.486781,12.141173
1551,43.21607851,-42.905917,-5.168339
1552,41.11545205,-37.107051,-17.707263
1553,34.98603168,-24.590495,24.886341
1554,50.57983212,2.076279,50.537199
1555,76.57985417,60.465879,46.993101
1556,41.11589519,-11.005304,39.615655
1557,53.50177647,17.256286,50.642479
1558,10.6327761,10.531671,1.462817
1559,50.74172945,-2.9033,50.658602
1560,32.65146525,32.647938,-0.479924
1561,11.3191848,6.817689,9.035655
1562,62.97677655,46.743496,-42.203317
1563,71.26382215,67.748787,-22.105072
1564,50.2492942,38.994801,31.692224
1565,35.12138834,25.779523,23.852214
1566,48.71439605,-2.388743,-48.655794
1567,34.96808487,-34.883921,-2.424668
1568,20.8232891,-11.276753,17.505548
1569,19.92181619,-12.752472,-15.305333
1570,12.99369958,-11.063913,6.813667
1571,50.09575655,-38.781548,-31.710824
1572,37.4980348,-21.155272,30.960573
1573,52.41138146,5.741534,52.095947
1574,45.1929822,-26.076932,-36.910693
1575,33.61050149,27.435306,-19.41571
1576,12.18541004,-6.346893,10.401979
1577,49.20358034,-3.149076,49.102705
1578,33.89639056,22.545149,-25.311688
1579,42.76826625,-23.033323,36.035963
1580,61.72266482,59.376345,16.856364
1581,48.38620059,37.164754,30.983955
1582,32.8228711,31.011003,10.754467
1583,20.77218005,19.404451,7.412877
1584,27.61608527,-8.655597,26.224584
1585,44.34457344,5.181895,44.040767
1586,41.88906966,-19.900291,-36.860176
1587,31.76788795,-30.326062,-9.461959
1588,5.059156846,-4.321555,-2.630443
1589,54.61921846,-51.099691,19.289391
1590,32.69526375,-30.694758,-11.261088
1591,48.88764155,-14.325023,46.741793
1592,19.57137252,4.837078,18.964211
1593,46.78944597,-25.638201,39.13994
1594,27.74388252,9.508209,26.06371
1595,37.8193436,-0.967313,37.806971
1596,39.14398688,-3.373347,38.998362
1597,41.98028556,28.338236,30.972387
1598,72.03895994,49.656303,52.190644
1599,20.73159555,-1.740849,20.658376
1600,29.23496415,29.131449,-2.458009
1601,56.55002566,51.088139,24.246803
1602,16.53870973,-10.613359,-12.684066
1603,39.56324138,22.436708,-32.585951
1604,21.0079051,-21.00375,0.417807
1605,55.17074514,52.080116,18.20639
1606,20.97342119,-20.914135,1.575866
1607,50.04024452,32.069706,-38.413019
1608,13.10605603,3.861767,-12.524195
1609,19.02243916,-17.586537,-7.250304
1610,14.93884495,-3.059379,14.622219
1611,46.86113192,21.812871,41.474864
1612,35.93127334,-15.869424,32.236901
1613,34.25902621,-16.186059,30.194244
1614,7.743678142,7.302233,2.577197
1615,21.56317016,20.426529,6.908489
1616,48.27326182,2.604296,48.202961
1617,66.8903112,-17.362222,64.597732
1618,33.42945532,18.074659,28.121792
1619,2.40960383,-2.214145,0.950659
1620,62.82174545,41.639852,47.039286
1621,44.03889768,17.195332,40.543126
1622,3.257689817,0.423561,3.230037
1623,5.744635309,-2.494539,-5.174757
1624,61.80861142,-57.091018,-23.683752
1625,22.2000358,18.881259,-11.676457
1626,20.03706024,13.183267,-15.089243
1627,19.3370529,15.511968,-11.545582
1628,8.621661151,8.610676,-0.435086
1629,34.79887732,-34.220415,6.318628
1630,81.46608411,-59.608705,55.529498
1631,51.64244533,-50.197485,-12.130732
1632,67.73420854,-32.29952,59.537081
1633,39.20594268,-8.036377,38.373462
1634,36.9441799,-19.601215,31.315568
1635,43.26182631,13.967851,40.944899
1636,26.97297862,-26.967604,-0.538433
1637,34.22994305,25.441466,22.900236
1638,19.33635624,3.415068,19.032393
1639,10.84668087,-6.169954,8.920883
1640,53.45137246,43.414045,31.181243
1641,17.59578667,5.604179,16.679475
1642,35.15864895,27.941676,21.339947
1643,35.84251736,32.972742,14.052912
1644,34.95672877,31.238375,15.688748
1645,13.67877973,-13.62901,-1.165805
1646,44.53665192,-11.93566,-42.907498
1647,38.15281321,-20.507649,32.172558
1648,45.58358435,-43.913484,12.225755
1649,24.50061525,-24.394598,2.276782
1650,59.87171446,-32.975949,-49.972082
1651,39.05777297,-37.434932,11.141611
1652,76.19620862,-8.89397,75.675356
1653,35.93659327,-33.511756,12.976939
1654,17.59679419,7.75259,15.796978
1655,3.790903848,-1.203328,-3.594851
1656,23.09572837,14.214192,18.203555
1657,32.23970976,21.74418,23.803141
1658,23.88249242,18.39441,15.232174
1659,15.67825075,12.845343,8.989144
1660,44.7343429,38.542121,22.708288
1661,51.11804159,51.098661,-1.407487
1662,15.59887176,-8.897008,12.812808
1663,14.89109329,-14.423557,3.702116
1664,27.01674385,21.609841,16.214784
1665,24.36583001,1.267774,24.332826
1666,12.77842173,-12.425359,2.983038
1667,38.54406663,-37.888722,7.077416
1668,19.58370804,-16.049786,11.221675
1669,39.39596895,-39.389864,-0.69353
1670,42.61482381,-34.542952,-24.956115
1671,14.75898492,-5.214183,13.807242
1672,195.6480693,-51.978352,188.61712
1673,28.24810111,-2.053932,-28.173331
1674,18.79835173,6.36277,17.688787
1675,32.37273104,8.044167,31.357377
1676,81.56825537,35.037714,73.659615
1677,35.4393546,8.343131,34.443287
1678,41.95125674,-5.175553,41.630777
1679,68.67383662,11.523413,67.700124
1680,36.62669403,36.416831,3.915244
1681,15.58063852,15.165459,-3.572835
1682,25.90078913,25.434461,-4.892757
1683,3.593542298,3.328931,-1.353427
1684,41.07150416,-40.820491,-4.533869
1685,28.71517127,3.514442,-28.499294
1686,33.39714574,-8.518548,-32.292471
1687,39.03412431,-35.472621,-16.289752
1688,35.95730134,-32.637495,15.090442
1689,19.0316427,16.688865,-9.147962
1690,34.66550589,34.601532,2.105061
1691,21.8361252,-15.408905,15.471975
1692,37.14410908,-16.456262,-33.299794
1693,50.82339179,-2.40172,50.766612
1694,35.07985373,-2.28076,35.005632
1695,36.17890985,36.025967,-3.323134
1696,36.71502517,-35.220398,10.369023
1697,33.70080355,-0.686582,33.693809
1698,36.5525205,4.731523,36.244992
1699,18.05762158,18.039103,-0.817594
1700,18.89282196,11.426557,-15.045681
1701,63.36501177,52.3934,35.63785
1702,22.67844132,0.128899,22.678075
1703,21.31087503,21.26339,-1.421844
1704,6.16320001,5.874595,1.863912
1705,11.18401431,6.121786,-9.359803
1706,33.677852,-33.658416,-1.144005
1707,27.35076248,-21.859086,-16.439117
1708,30.7579747,-30.367734,4.884029
1709,71.66505563,-56.613428,-43.940869
1710,16.99082901,-0.000652,-16.990829
1711,40.65484664,32.888639,-23.898828
1712,42.41964309,-41.856241,6.890661
1713,22.37454183,21.847499,4.827723
1714,14.89614397,-1.253828,14.843282
1715,5.805994216,5.760215,0.727662
1716,35.43056916,24.418754,25.671963
1717,29.3000858,-19.141346,22.183415
1718,11.12111322,9.468367,5.833454
1719,34.43190283,32.297833,11.933395
1720,32.53486524,31.713931,7.262509
1721,60.91615936,55.363153,25.410623
1722,18.30141989,17.802176,4.245527
1723,11.71981596,-0.243265,11.717291
1724,36.88004544,36.814777,2.193159
1725,23.7714621,-12.723669,-20.079608
1726,22.57934226,18.293598,-13.235217
1727,42.98532648,-35.673365,-23.982271
1728,4.763442293,4.110703,2.406762
1729,20.20113246,-3.165383,19.951594
1730,23.1049525,-11.800062,-19.864475
1731,14.40562601,-0.762821,14.385415
1732,37.56749356,-16.478547,33.76054
1733,33.46239051,-9.089373,32.204268
1734,46.30368214,-12.102247,44.694145
1735,62.75603057,27.351202,56.482131
1736,34.71464721,24.731831,24.360691
1737,20.2403083,1.101567,20.21031
1738,48.89854926,17.865326,45.518109
1739,46.83966284,33.14251,33.098762
1740,16.635019,-5.551288,15.681424
1741,44.63312878,44.499103,-3.456301
1742,46.65708498,31.045535,-34.828987
1743,41.90661371,41.05732,8.39409
1744,11.27583721,10.672292,3.6396
1745,26.89606506,-18.033795,-19.954462
1746,7.554997622,3.889668,-6.476764
1747,25.45260713,-17.017158,18.927534
1748,72.74589169,-54.589346,48.082929
1749,25.91448779,-11.976564,-22.980918
1750,14.87368889,-10.580112,10.454083
1751,45.852159,-33.657972,31.137781
1752,35.89762129,-32.345813,15.568802
1753,41.93109654,-2.225246,41.872009
1754,17.62007943,0.269781,-17.618014
1755,77.3055049,31.885372,70.423463
1756,31.59815533,-9.233061,30.2191
1757,42.12351849,-29.529262,-30.040198
1758,68.81849819,10.856972,67.956691
1759,38.56565135,23.963805,30.216643
1760,48.3210027,48.290266,1.723227
1761,26.02052801,4.87597,25.559593
1762,53.52261076,15.924367,51.098771
1763,25.24180269,1.929546,25.167945
1764,26.88637751,24.472136,11.135163
1765,40.306514,-39.414581,-8.43243
1766,26.89411414,2.704074,-26.757828
1767,34.32435465,-7.500298,33.494878
1768,24.66623431,21.267825,12.494108
1769,24.86400099,7.228773,23.789985
1770,16.58615558,-10.694221,-12.678099
1771,12.79748165,-10.156325,7.78618
1772,18.00102115,9.798551,15.100502
1773,9.755362839,2.32309,-9.474722
1774,30.47133735,-27.233259,13.669382
1775,43.95893908,-39.221353,19.851292
1776,23.67413567,-16.714328,16.765916
1777,61.33189234,-61.182453,-4.278839
1778,36.33318514,-7.951075,35.452514
1779,14.92163173,14.389634,-3.948864
1780,22.93014704,-22.781427,-2.607341
1781,10.46523266,9.152223,5.075225
1782,40.68442636,25.560762,-31.65233
1783,32.42029544,29.280916,-13.917741
1784,40.82232142,36.092026,-19.074265
1785,21.62683994,-17.586992,-12.586418
1786,30.92886992,5.079154,-30.508969
1787,25.55066612,-15.787603,20.089503
1788,45.00339848,-30.807606,32.805446
1789,38.30715758,-37.146485,9.358257
1790,19.49378478,-5.832852,-18.600685
1791,25.10208202,-21.279806,-13.314818
1792,16.69327557,-1.24022,-16.647141
1793,31.46415133,-0.03913,31.464127
1794,24.72353872,-23.455319,7.816737
1795,44.42899339,-6.20037,43.994214
1796,23.55862357,22.904212,5.514147
1797,81.94303827,-36.661086,73.284557
1798,22.58513595,-12.773518,18.625939
1799,33.34556416,3.228123,33.188942
1800,66.92583403,37.098804,55.702298
1801,60.66327035,23.893097,55.759773
1802,16.90828598,-14.247139,9.105447
1803,20.5790652,20.42924,-2.478725
1804,28.32051108,-12.645725,-25.340422
1805,15.39435698,8.701292,-12.69936
1806,13.79039356,-5.900116,-12.464493
1807,8.163144682,5.991557,5.544202
1808,24.766678,-24.481702,3.746279
1809,22.15875394,8.90753,20.289561
1810,10.88747529,7.980608,7.405877
1811,32.14632307,-31.996788,-3.097038
1812,34.43353821,-25.950145,-22.633129
1813,25.89015558,-20.959213,15.199064
1814,36.60954887,12.691088,34.339414
1815,14.18833869,10.872816,9.115417
1816,22.04408167,16.306436,14.833802
1817,21.7259367,-12.04507,18.081278
1818,17.94343532,7.530497,16.286758
1819,24.93374902,24.806787,2.512998
1820,11.57646519,10.664325,-4.504078
1821,17.74582672,3.042764,17.483019
1822,51.05254207,50.410414,-8.071692
1823,20.69848019,13.920708,15.317995
1824,20.81848181,2.086379,20.713672
1825,16.66201636,-3.475764,-16.295455
1826,27.48818233,8.4313,-26.163206
1827,12.64109348,-6.902233,-10.590393
1828,30.49272413,-28.728801,10.220676
1829,19.11230008,-14.528112,12.418292
1830,28.55366306,-24.699126,14.327067
1831,36.31847137,-15.691821,32.753597
1832,28.59923627,-9.118122,27.106755
1833,46.42908624,-40.266658,-23.113985
1834,55.88749552,-39.12156,39.911348
1835,30.90433679,-28.706637,11.44583
1836,18.92460866,-4.595333,18.358206
1837,36.29672528,10.934075,34.610667
1838,17.10742225,15.722105,-6.743835
1839,53.02583998,1.694007,-52.998774
1840,18.59208964,17.828666,-5.272994
1841,24.41513546,-21.395584,11.761285
1842,21.89077235,-18.243431,-12.09889
1843,20.02387706,-9.907521,-17.401054
1844,3.308794586,1.134919,-3.108067
1845,75.64931999,11.675648,-74.742885
1846,48.68309721,-14.868794,-46.356908
1847,23.27957881,-16.507001,-16.415167
1848,151.1111279,-36.085351,146.739294
1849,16.5744331,-16.476723,-1.797062
1850,20.74063085,-14.353651,-14.971522
1851,14.54116123,5.889688,13.294997
1852,39.22821833,32.597937,21.82264
1853,44.64506633,0.489568,44.642382
1854,37.61469963,-8.719543,36.590097
1855,56.00894105,-30.014709,47.287617
1856,47.42751888,38.843182,27.21354
1857,56.76936096,56.684656,-3.100019
1858,51.80703343,32.406808,-40.41989
1859,42.16170811,24.289844,34.461763
1860,36.38817169,34.665601,-11.063234
1861,21.63967747,21.330029,3.647671
1862,21.39891623,12.366449,-17.463807
1863,33.67964007,33.515514,3.320915
1864,4.571076585,4.265211,-1.643994
1865,25.09167166,24.37849,5.939799
1866,5.48408305,-5.07842,2.06998
1867,28.40361125,1.361258,-28.370973
1868,31.55120854,-14.511326,-28.01607
1869,37.45943113,-20.236586,31.522842
1870,22.73427488,-13.607343,18.212289
1871,47.65778624,-45.245731,14.969583
1872,12.10848612,-6.754473,10.049504
1873,30.91372234,-25.680995,17.208856
1874,24.25876713,15.294727,-18.82974
1875,6.419273197,4.167759,4.8823
1876,51.26689253,-20.795334,46.85988
1877,24.99250257,13.173418,21.238791
1878,36.24171177,35.580288,6.892371
1879,28.51185359,23.018507,-16.824807
1880,34.5920226,30.489894,16.339351
1881,52.17766592,45.424305,-25.673748
1882,60.65949809,41.085634,-44.626734
1883,49.55753121,14.561465,-47.369955
1884,4.076316942,3.480651,-2.121657
1885,16.22070156,12.798085,9.965951
1886,25.36128349,1.693135,-25.304703
1887,27.7237839,-24.883329,12.22408
1888,45.5559994,-28.048623,-35.897407
1889,29.56072621,-26.049902,-13.9728
1890,31.92202746,16.744244,27.178045
1891,53.73104259,-46.374708,27.136901
1892,20.02356835,-7.236992,18.670009
1893,39.80592192,-26.672734,29.547871
1894,37.54648534,-36.422716,9.117254
1895,51.73467313,-51.008934,8.635106
1896,35.82341705,24.019283,26.578022
1897,31.4888144,28.011213,14.384623
1898,26.61780909,14.949533,22.023152
1899,39.88051965,33.984554,-20.868779
1900,60.78863719,22.178199,-56.598462
1901,48.23139226,45.167246,-16.917065
1902,42.62652619,38.767014,17.723977
1903,29.26057253,28.953539,4.227728
1904,35.87161801,12.353172,33.677472
1905,30.79228774,4.720287,30.42834
1906,26.74834463,-25.342361,-8.55796
1907,1.943525987,-1.741408,-0.863013
1908,24.78783928,19.340838,-15.503837
1909,14.75994918,-7.919123,12.455665
1910,26.75362732,15.81013,21.582316
1911,43.93151848,-31.809309,30.300927
1912,69.71755055,-47.796982,50.754166
1913,12.25842511,4.509523,11.398824
1914,36.00045085,4.56219,35.710207
1915,42.18505374,-17.327515,38.462137
1916,35.21658857,-6.070394,34.689457
1917,27.46973189,18.231923,-20.547096
1918,45.22516102,14.653083,42.785539
1919,47.87018211,47.448994,6.33619
